Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
The Big Book of Silly Jokes for Kids,116,4.7,22687,5.98,Composition & Creative Writing,Rockridge Press,Rockridge Press,Roman Carole,160
The Wonderful Things You Will Be,118,4.9,29400,9.40,New Baby,Random House Books for Young Readers,Random House Books for Young Readers,Emily Winfield Martin,36
It Ends with Us: A Novel (1),119,4.7,304540,6.73,TV,Atria Books,Atria Books,Colleen Hoover,384
Tom Lake: A Reese's Book Club Pick,120,4.3,22279,15.64,20th Century,Harper,,Ann Patchett,320
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (w/poster),121,4.9,40864,26.97,Action & Adventure,Disney Hyperion,,Rick Riordan,1920
The Nightingale: A Novel,121,4.7,294097,7.03,World War II,St. Martin's Griffin,St. Martin's Griffin,Kristin Hannah,608
The Bible Recap: A One-Year Guide to Reading and Understanding the Entire Bible,122,4.8,3905,17.45,Bible Study,Bethany House Publishers,Bethany House Publishers,Tara-Leigh Cobble,752
Hello Beautiful (Oprah's Book Club): A Novel,123,4.4,56030,13.82,Tragedy,The Dial Press,,Ann Napolitano,400
"Tomorrow, and Tomorrow, and Tomorrow: A novel",124,4.4,75089,10.72,Cultural Heritage,Knopf,,Gabrielle Zevin,416
"Tell Me Your Life Story, Mom: A Mother’s Guided Journal and Memory Keepsake Book (Tell Me Your Life Story® Series Books)",125,4.7,4393,11.24,Guided Journals,Questions About Me,,Questions About Me,122
"Crown of Midnight (Throne of Glass, 2)",126,4.7,65379,12.46,Fantasy,Bloomsbury Publishing,kovdim,Sarah J. Maas,448
"Kingdom of Ash (Throne of Glass, 7)",127,4.8,56757,14.83,Fantasy,Bloomsbury Publishing,,Sarah J. Maas,992
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",128,4.8,30555,16.20,Success,Portfolio,Portfolio,Ryan Holiday,416
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",129,4.8,45463,5.97,Devotionals,Paige Tate & Co.,Meins,Shannon Roberts,229
D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),130,4.9,52140,26.10,Reference,Wizards of the Coast,Dungeons & Dragons,Team Wizards,320
Feel-Good Productivity: How to Do More of What Matters to You,131,4.5,2,18.68,Happiness,Celadon Books,,Ali Abdaal,304
I Will Teach You to Be Rich: No Guilt. No Excuses. Just a 6-Week Program That Works (Second Edition),132,4.7,18153,9.19,Success,Workman Publishing Company,Workman Publishing Company,Ramit Sethi,352
"Queen of Shadows (Throne of Glass, 4)",133,4.8,63499,11.94,Fantasy,Bloomsbury Publishing,TenderTouches,Sarah J. Maas,672
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,134,4.7,16067,17.99,Motivational,Thought Catalog Books,THOUGHT CATALOG,Wiest Brianna,248
"Empire of Storms (Throne of Glass, 5)",135,4.8,58136,13.03,Fantasy,Bloomsbury Publishing,Dakasy,Sarah J. Maas,720
Behind the Seams: My Life in Rhinestones,137,4.7,383,25.00,History,Ten Speed Press,,Dolly Parton,336
My Effin' Life,138,4.8,668,24.44,Rock,Harper,,Geddy Lee,512
"The Reverse Coloring Book™: The Book Has the Colors, You Draw the Lines!",139,4.8,3597,9.90,Pen & Ink,Workman Publishing Company,WORKMAN PUBLISHING,Kendra Norton,104
"Heir of Fire (Throne of Glass, 3)",140,4.7,60109,13.26,Fantasy,Bloomsbury Publishing,kovdim,Sarah J. Maas,592
"Tower of Dawn (Throne of Glass, 6)",141,4.7,45443,12.32,Fantasy,Bloomsbury Publishing,kovdim,Sarah J. Maas,688
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",142,4.8,21380,11.42,Interpersonal Relations,New Harbinger Publications,New Harbinger Publications,Lindsay C. Gibson ,216
"Brown Bear, Brown Bear, What Do You See?",143,4.9,53925,4.94,Bears,Henry Holt and Co. (BYR),Holtzbrinck Publishers,Bill Martin Jr.,28
"Adult Swear Words Coloring Book: Live, Laugh, Fuck Off: Swear Words Colouring Book for Adults | Sweary Coloring Book for Stress Relief and Relaxation | Adult Coloring Book Cuss Words",144,4.6,1393,6.99,Humor,Independently published,,Pink Stylish Press,86
"House of Sky and Breath (Crescent City, 2)",145,4.8,55476,13.28,Fantasy,Bloomsbury Publishing,CALOTO,Sarah J. Maas,816
